pl_name,pl_letter,disc_pubdate,disc_method,disc_refname,dkin_flag,ra,dec,glon,glat,pl_orbper,pl_orblper,pl_orbsmax,pl_orbincl,pl_orbtper,pl_orbeccen,cb_flag,sy_pm,sy_pmra,sy_pmdec,sy_plx,sy_dist,pl_eqt,pl_occdep,pl_insol,pl_dens,pl_radj,pl_rade,pl_trueobliq,pl_bmassj,pl_bmasse,pl_ntranspec,sy_gaiamag,sy_tmag,sy_w1mag,sy_w4mag,hostname,sy_name,pl_ratdor,pl_imppar
BD-06 1339 c,c,2013-03,rv,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,0,88.2511811,-5.9963378,211.65797,-15.71602,125.94,41,0.435,,2455265.2,0.31,0,346.7225761,-1.04543,-346.721,49.3062,20.2695,261.91,,0.5024,0.495,0.747,8.38,,0.17,53,0,9.10677,8.2906,6.266,6.213,BD-06 1339,BD-06 1339,,
BD-08 2823 b,b,2010-03,rv,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>,0,150.1971964,-9.5165689,248.49513,34.75486,5.6,30,0.06,0.2746,2454637.7,0.15,0,376.3791094,-375.517,25.4601,24.1641,41.3342,798.86,,65.7249,,,,,9.277,2948.49413174,0,9.50331,8.86,7.213,7.395,BD-08 2823,BD-08 2823,,
BD-08 2823 c,c,2010-03,rv,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>,0,150.1971964,-9.5165689,248.49513,34.75486,237.6,-233,0.68,,2454193,0.19,0,376.3791094,-375.517,25.4601,24.1641,41.3342,233.85,,0.5117,0.293,1.11,12.5,,0.33,104,0,9.50331,8.86,7.213,7.395,BD-08 2823,BD-08 2823,,
BD-10 3166 b,b,2000-12,rv,<a refstr=BUTLER_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000ApJ...545..504B/abstract target=ref> Butler et al. 2000 </a>,0,164.6191243,-10.7704227,263.28467,43.23793,3.48777,35,0.04,,2451342.7,0.02,0,185.0255981,-184.836,-8.37407,11.8187,84.4069,1240.38,,402.4216,0.368,1.26,14.1,,0.59,187.5197,0,9.83981,9.3253,8.109,7.566,BD-10 3166,BD-10 3166,,
BD-11 4672 b,b,2015-04,rv,<a refstr=MOUTOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..48M/abstract target=ref>Moutou et al. 2015</a>,0,278.3688659,-11.6370481,20.54287,-1.35959,1634,343.88,2.36,,2455899,0.05,0,372.5220822,-288.59,-235.56,36.7812,27.1665,114.17,,0.0282,0.405,1.25,14.1,,0.65,206.5895,0,9.48511,8.7204,6.838,6.99,BD-11 4672,BD-11 4672,,
BD-11 4672 c,c,2020-09,rv,<a refstr=BARBATO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...641A..68B/abstract target=ref>Barbato et al. 2020</a>,0,278.3688659,-11.6370481,20.54287,-1.35959,74.2,245.92,0.3,,,0.4,0,372.5220822,-288.59,-235.56,36.7812,27.1665,320.21,,1.7444,1.28,0.36,4.04,,0.04835919,15.37,0,9.48511,8.7204,6.838,6.99,BD-11 4672,BD-11 4672,,
BD-13 2130 b,b,2007-09,rv,<a refstr=LOVIS___MAYOR_2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..657L/abstract target=ref> Lovis & Mayor 2007 </a>,0,114.2884692,-13.9066703,230.52055,3.53127,714.29999,18,1.66,,2453213,0.21,0,3.8647189,-0.693761,-3.80194,1.05402,925.214,744.77,,40.0372,8.75,1.11,12.5,,9.78,3108.3774,0,9.69971,8.999,7.051,6.983,BD-13 2130,BD-13 2130,,
BD-14 3065 b,b,2024-08,tran,<a refstr=SUBJAK_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A.120S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,0,153.6696689,-15.6428372,256.57364,32.77156,4.2889731,54,0.0656,80.78,,0.066,0,9.0305658,-5.60772,7.07846,1.66848,589.423,2001,0.0482,646.761,2.15,1.926,21.59,,12.37,3932,0,10.91,10.6311,9.842,9.062,BD-14 3065 A,BD-14 3065,6.01,0.9099
BD-17 63 b,b,2009-03,rv,<a refstr=MOUTOU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496..513M/abstract target=ref> Moutou et al. 2009 </a>,0,7.1413494,-16.2273254,95.83026,-77.87825,655.57,113.8,1.34,80,2457250.5,0.5439,0,421.9214191,-355.181,-227.737,28.9903,34.4603,168.92,,0.1169,4.3,1.15,12.8,,5.16,1639.99458012,0,9.20112,8.5246,6.846,6.876,BD-17 63,BD-17 63,,
BD-210397 b,b,2023-07,rv,<a refstr=FRENSCH_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.173F/abstract target=ref>Frensch et al. 2023</a>,0,33.3024198,-21.1962147,199.69949,-70.45622,1891,-55,2.63,,2456490,0.1,0,379.6005102,375.476,55.8061,42.1075,23.7324,104.11,,0.02,0.429,1.25,14,,0.7,214,0,9.25962,8.4502,,,BD-210397,BD-210397,,
