sy_name,sy_snum,sy_pnum,sy_mnum,cb_flag,ra,dec,glon,glat,sy_dist,sy_plx,sy_pm,sy_pmra,sy_pmdec,sy_gaiamag,sy_tmag,sy_vmag,sy_jmag,sy_kmag,sy_w1mag,sy_w4mag
Kepler-1937,1,1,0,0,290.6583922,40.7785383,72.86986,11.90966,905.069,1.07628,1.5094273,0.0620839,-1.50815,14.0864,13.6766,14.163,13.137,12.817,12.764,9.365
Kepler-1938,1,1,0,0,299.351892,41.1957285,76.38584,6.32746,421.152,2.34594,2.7529924,2.07553,-1.80863,14.8554,14.1468,15.246,13.221,12.494,12.308,8.89
Kepler-1939,1,1,0,0,285.6899312,40.9946659,71.48672,15.42338,189.833,5.23884,32.5925741,-11.3553,30.5505,13.3976,12.6441,13.622,11.614,10.841,10.753,9.148
Kepler-194,1,3,0,0,291.971429,47.8640498,79.85362,14.09794,1097.97,0.882241,25.300191,-7.30184,-24.2236,14.9117,14.442,14.969,13.78,13.512,13.385,9.233
Kepler-1940,1,1,0,0,291.2042027,45.2383344,77.17468,13.46295,798.595,1.22374,10.7656207,0.197985,-10.7638,15.2846,14.7452,15.674,13.975,13.478,13.456,9.295
Kepler-1941,1,1,0,0,296.6270184,49.353891,82.62976,12.00586,1494.39,0.640606,5.5619451,-3.58213,-4.25483,14.6228,14.2266,14.943,13.686,13.364,13.171,9.167
Kepler-1942,1,1,0,0,294.9805416,44.4252384,77.64775,10.70294,842.492,1.15891,16.0253831,-7.40582,-14.2115,14.6596,14.1689,14.91,13.442,13.035,13.016,9.408
Kepler-1943,1,1,0,0,293.3182976,41.1166697,74.08992,10.26137,1004.55,0.966843,5.3299636,0.247588,5.32421,13.7453,13.2845,13.868,12.677,12.252,12.225,9.424
Kepler-1944,1,1,0,0,296.5105045,39.1732645,73.52817,7.19207,1076.48,0.901374,12.8110573,0.768274,-12.788,15.3313,14.7749,15.582,14.013,13.447,13.37,8.885
Kepler-1945,1,1,0,0,281.8980828,42.2858185,71.65757,18.53275,,,12.0542884,-7.04239,-9.78318,,12.746,13.586,11.945,11.366,11.32,9.392
Kepler-1946,1,1,0,0,282.3355387,42.8453417,72.32859,18.42396,1002.12,0.970191,21.4491327,-5.09834,-20.8344,15.5613,15.0123,15.508,14.248,13.761,13.757,8.953
Kepler-1947,1,1,0,0,296.1040313,42.3425818,76.17636,8.99929,468.771,2.1046,4.6510521,-2.80099,-3.71305,12.877,12.4445,12.973,11.853,11.504,11.452,8.977
Kepler-1948,1,1,0,0,287.3640804,47.7853043,78.49856,16.90289,193.903,5.12871,26.2858812,4.36752,25.9205,13.9243,13.0256,14.569,11.706,10.871,10.771,9.275
Kepler-1949,1,1,0,0,293.5422586,43.0260555,75.89627,10.98346,2617.35,0.353099,12.1163507,-5.18432,-10.9512,15.2008,14.7334,15.231,14.029,13.694,13.568,9.229
Kepler-195,1,2,0,0,288.1209339,47.9666141,78.87415,16.50144,652.051,1.50495,17.4786781,1.90459,-17.3746,14.7989,14.2589,14.863,13.531,12.959,,
Kepler-1950,1,1,0,0,287.0874563,42.6686537,73.50551,15.1176,697.253,1.40574,6.4083113,-5.3361,-3.54859,14.5569,14.0116,14.845,13.2,12.679,12.714,8.857
Kepler-1951,1,1,0,0,290.4999139,40.2877161,72.36456,11.80543,1277.32,0.754179,6.7797504,6.31099,2.47718,14.1599,13.6261,14.367,12.889,12.389,12.335,9.215
Kepler-1952,1,1,0,0,288.0764082,43.9584839,75.02689,14.96701,852.062,,5.891628,-2.84415,-5.15966,13.8909,13.4365,13.828,12.593,12.204,12.128,8.841
Kepler-1953,1,1,0,0,287.9680995,46.4705959,77.39378,16.02266,605.631,1.62271,4.9505779,-4.50691,-2.04841,15.4666,14.7954,15.936,13.863,13.163,13.172,9.38
Kepler-1954,1,1,0,0,298.0029203,43.3545882,77.75717,8.2785,1373.83,0.70091,6.6348451,3.53045,-5.61757,15.7125,15.1876,15.875,14.397,13.978,14.001,9.411
