hostname,hostid,sy_name,hd_name,hip_name,tic_id,gaia_dr3_id,st_spectype,st_teff,st_rad,st_mass,st_lum,st_dens,st_logg,st_age,st_met,st_metratio,st_radv,st_rotp,st_vsin,st_log_rhk
Kepler-1048,2.489545,Kepler-1048,,,TIC 123408693,Gaia DR3 2104704815958848000,,4651,0.7,0.75,-0.40925,0.81232,4.62,3.98,0.01,[Fe/H],,,,
Kepler-1049,2.14193,Kepler-1049,,,TIC 158489095,Gaia DR3 2131059628640021120,,3864,0.49,0.51,-1.13956,4.017779,4.77,3.8,-0.33,[Fe/H],,,,
Kepler-105,2.559504,Kepler-105,,,TIC 158625964,Gaia DR3 2130368310704421120,,5933,1.026,0.991,0.09657,0.92,4.43197,4.27,-0.09,[Fe/H],1.96556,,,
Kepler-1050,2.26127,Kepler-1050,,,TIC 48216453,Gaia DR3 2143749504651818368,,6010,1.13,1.09,0.05871,1.08,4.37,3.55,0.03,[Fe/H],,,,
Kepler-1051,2.465691,Kepler-1051,,,TIC 138968338,Gaia DR3 2076661630160275072,,6675,1.73,1.43,0.52413,0.46,4.12,1.74,0.04,[Fe/H],,,,
Kepler-1052,2.568730,Kepler-1052,,,TIC 271661839,Gaia DR3 2080466185207274880,,5818,0.848,0.937,-0.04685,2.25843,4.554,1.2,-0.22,[Fe/H],,,,
Kepler-1052,2.568730,Kepler-1052,,,TIC 271661839,Gaia DR3 2080466185207274880,,5888,1.03,1.03,-0.04685,1.24,4.42,3.55,0,[Fe/H],,,,
Kepler-1053,2.436011,Kepler-1053,,,TIC 137152419,Gaia DR3 2052973309272223232,,4529,0.69,0.74,-0.89512,4.225799,4.63,3.09,0.1,[Fe/H],-15.04656,,,
Kepler-1054,2.533481,Kepler-1054,,,TIC 159441326,Gaia DR3 2126979031752904192,,6209,1.34,1.22,0.36867,0.46,4.26,2.82,0.09,[Fe/H],,,,
Kepler-1055,2.540035,Kepler-1055,,,TIC 159440697,Gaia DR3 2127020229079881856,,5723,0.94,0.98,-0.14818,1.42,4.49,3.09,-0.02,[Fe/H],,,,
Kepler-1056,2.572599,Kepler-1056,,,TIC 268935452,Gaia DR3 2085599186522693632,,6127,1.2,1.12,0.22658,0.94603,4.33,2.95,0.02,[Fe/H],,,,
Kepler-1057,2.480378,Kepler-1057,,,TIC 169463893,Gaia DR3 2076891329311747584,,5987,1.1,1.07,-0.0058,1.7086,4.38,3.09,0.01,[Fe/H],,,,
Kepler-1058,2.553446,Kepler-1058,,,TIC 271164394,Gaia DR3 2080054761700390272,,4644,0.69,0.73,-0.31631,0.19135,4.63,3.39,-0.06,[Fe/H],,,,
Kepler-1059,2.482907,Kepler-1059,,,TIC 121943952,Gaia DR3 2102249400337907456,,4906,0.72,0.75,-0.52036,3.72577,4.61,5.37,-0.15,[Fe/H],,,,
Kepler-106,2.530946,Kepler-106,,,TIC 184997417,Gaia DR3 2082074942519913344,,5858,1.04,1,0.08255,1.38,4.407,4.83,-0.12,[Fe/H],-56.18239,,0.3,
Kepler-1060,2.442411,Kepler-1060,,,TIC 120691237,Gaia DR3 2100653527927414272,,5797,0.99,0.99,0.07184,0.29666,4.44,4.27,-0.03,[Fe/H],,,,
Kepler-1061,2.43706,Kepler-1061,,,TIC 27776660,Gaia DR3 2135301338343246848,,6067,1.07,1.09,0.08762,1.06,4.42,2.14,-0.03,[Fe/H],,,,
Kepler-1062,2.471838,Kepler-1062,,,TIC 120043084,Gaia DR3 2103714637018491136,,4597,0.7,0.75,-0.6822,11.57399,4.62,2.45,0.11,[Fe/H],,,,
Kepler-1063,2.422616,Kepler-1063,,,TIC 122451550,,,5945,1.14,1.09,0.166,28.42249,4.37,3.39,0.09,[Fe/H],,,,
Kepler-1064,2.302013,Kepler-1064,,,TIC 137315852,Gaia DR3 2051807620790721792,,5153,0.79,0.85,-0.401,8.92788,4.57,3.89,0,[Fe/H],,,,
Kepler-1065,2.430631,Kepler-1065,,,TIC 378012771,Gaia DR3 2052203273182353920,,5635,0.93,0.94,-0.11584,2.64454,4.49,4.47,-0.01,[Fe/H],,,,
Kepler-1066,2.567191,Kepler-1066,,,TIC 268379849,Gaia DR3 2085502463860057984,,5762,0.98,0.98,-0.18995,1.48,4.45,3.8,-0.03,[Fe/H],-11.29658,,,
Kepler-1067,2.541061,Kepler-1067,,,TIC 351910733,Gaia DR3 2106374557504930944,,5594,0.934,0.981,-0.14725,2.89914,4.489,0.81,0.16,[Fe/H],,,,
Kepler-1067,2.541061,Kepler-1067,,,TIC 351910733,Gaia DR3 2106374557504930944,,5592,0.93,0.95,-0.14725,1.33,4.49,4.79,0.03,[Fe/H],,,,
Kepler-1068,2.562512,Kepler-1068,,,TIC 271165395,Gaia DR3 2128129876831370880,,5806,1.01,1.01,-0.02521,1.09,4.43,4.17,0.03,[Fe/H],,,,
Kepler-1069,2.17291,Kepler-1069,,,TIC 417659970,Gaia DR3 2129215369685086080,,5722,0.98,0.99,0.37196,0.28,4.46,4.37,0.04,[Fe/H],0.48562,,,
Kepler-107,2.21912,Kepler-107,,,TIC 27988327,Gaia DR3 2086625752425381632,,5854,1.447,1.238,0.36449,0.4,4.21,4.29,0.321,[Fe/H],5.64423,20.3,3.6,
Kepler-1070,2.34499,Kepler-1070,,,TIC 26814296,Gaia DR3 2129064874031303936,,6261,1.32,1.21,0.28486,0.64,4.27,2.75,0.03,[Fe/H],,,,
Kepler-1071,2.544499,Kepler-1071,,,TIC 275490723,Gaia DR3 2126514556811478144,,5215,0.81,0.86,-0.31262,1.37,4.56,4.27,0.01,[Fe/H],,,,
Kepler-1072,2.561796,Kepler-1072,,,TIC 63072565,Gaia DR3 2126806992544494720,,6199,1.32,1.2,0.36531,0.49,4.27,2.88,0.07,[Fe/H],,,,
Kepler-1073,2.424265,Kepler-1073,,,TIC 138568416,Gaia DR3 2052069201482198784,,5792,1,1,-0.01023,1.84858,4.44,3.72,0,[Fe/H],,,,
Kepler-1073,2.424265,Kepler-1073,,,TIC 138568416,Gaia DR3 2052069201482198784,,5509,1.116,0.924,-0.01023,1.60584,4.308,3.72,0.16,[Fe/H],,,,
Kepler-1074,2.559274,Kepler-1074,,,TIC 164724987,Gaia DR3 2107240324132394496,,4002,0.57,0.6,-1.12071,3.872257,4.7,3.55,-0.06,[Fe/H],,,,
Kepler-1075,2.9877,Kepler-1075,,,TIC 158489841,Gaia DR3 2130861785267379456,,3959,0.54,0.56,-1.11289,3.916469,4.72,2.95,-0.17,[Fe/H],,,,
Kepler-1076,2.49441,Kepler-1076,,,TIC 399955825,,,4868,0.74,0.79,-0.557,2.40067,4.6,3.72,-0.01,[Fe/H],-33.64135,,,
Kepler-1077,2.491796,Kepler-1077,,,TIC 159574927,Gaia DR3 2101930164010053120,,5816,1.02,1.02,0.00638,1.43617,4.43,4.17,0.03,[Fe/H],,,,
Kepler-1078,2.505640,Kepler-1078,,,TIC 275494550,Gaia DR3 2077837390345483904,,5612,0.92,0.94,0.50027,0.03994,4.49,4.37,-0.01,[Fe/H],,,,
Kepler-1079,2.552455,Kepler-1079,,,TIC 268932150,,,5758,1.36,1.08,0.263,0.8915,4.21,6.61,0.21,[Fe/H],,,,
Kepler-108,2.556680,Kepler-108,,,TIC 271164755,,,5854,2.192,1.247,0.707,0.24339,3.895,3.89,0.3261,[M/H],,,,
Kepler-1080,2.32600,Kepler-1080,,,TIC 27847814,Gaia DR3 2086818579276362624,,5956,1.16,1.1,0.86064,0.11728,4.35,3.89,0.09,[Fe/H],,,,
Kepler-1081,2.475826,Kepler-1081,,,TIC 122066167,Gaia DR3 2101476065707700480,,5345,0.84,0.88,-0.30601,1.55,4.54,4.68,0.01,[Fe/H],,,,
Kepler-1082,2.45806,Kepler-1082,,,TIC 299218775,Gaia DR3 2133127363335546112,,5923,1.14,1.03,0.3142,0.4,4.33,5.75,-0.06,[Fe/H],,,,
Kepler-1083,2.542362,Kepler-1083,,,TIC 164458639,Gaia DR3 2106904698207543936,,5049,0.77,0.81,-0.47303,0.45058,4.58,4.68,-0.02,[Fe/H],,,,
Kepler-1084,2.21384,Kepler-1084,,,TIC 267749737,Gaia DR3 2129464546506876928,,6113,1.28,1.12,0.25259,0.559944,4.27,4.07,-0.02,[Fe/H],3.34794,,,
Kepler-1085,2.557643,Kepler-1085,,,TIC 158487108,Gaia DR3 2130321925058256384,,5816,1.0783,1.05,0.07867,1.180686,4.39378,1.07,0.22,[Fe/H],,,,
Kepler-1085,2.557643,Kepler-1085,,,TIC 158487108,Gaia DR3 2130321925058256384,,6000,1.14,1.11,0.07867,1.01,4.37,3.39,0.08,[Fe/H],,,,
Kepler-1086,2.553547,Kepler-1086,,,TIC 271545939,Gaia DR3 2080018374737161984,,4350,0.66,0.7,-0.85997,5.07372,4.65,2.88,0.06,[Fe/H],,,,
Kepler-1087,2.556822,Kepler-1087,,,TIC 271353794,Gaia DR3 2080070975195117312,,5589,0.94,0.96,-0.09746,1.15,4.48,3.55,0.01,[Fe/H],-41.33848,,,
Kepler-1088,2.494610,Kepler-1088,,,TIC 123316231,Gaia DR3 2104727081069413376,,5975,1.08,1.08,0.09007,1.03,4.4,3.02,0.05,[Fe/H],-16.7638,,,
Kepler-1089,2.32146,Kepler-1089,,,TIC 350810654,Gaia DR3 2129928884010551936,,3753,0.49,0.52,-1.29726,4.5352,4.76,3.72,-0.09,[Fe/H],,,,
Kepler-109,2.452941,Kepler-109,,,TIC 122441003,Gaia DR3 2101175933393051008,,5950,1.387,1.094,0.34654,0.43,4.21,6.2,-0.02,[Fe/H],,,1,
Kepler-1090,2.533841,Kepler-1090,,,TIC 271885110,Gaia DR3 2079650828617180288,,5321,0.82,0.86,-0.14595,1.01,4.55,4.37,-0.04,[Fe/H],,,,
Kepler-1090,2.533841,Kepler-1090,,,TIC 271885110,Gaia DR3 2079650828617180288,,5330,1.013,0.869,-0.14595,0.08951,4.366,12.59,0.18,[Fe/H],,,,
Kepler-1091,2.516876,Kepler-1091,,,TIC 269262974,Gaia DR3 2075987599477644672,,5851,1.03,1.01,0.07961,1.94361,4.42,3.47,0,[Fe/H],,,,
Kepler-1092,2.5942,Kepler-1092,,,TIC 273378026,Gaia DR3 2086320878467532032,,5862,1,0.99,0.09586,2.4381,4.44,3.8,-0.09,[Fe/H],,,,
Kepler-1093,2.477335,Kepler-1093,,,TIC 120420344,Gaia DR3 2104037962156847744,,6166,1.2,1.13,0.46038,0.37,4.33,2.95,-0.01,[Fe/H],,,,
Kepler-1094,2.423984,Kepler-1094,,,TIC 137549134,Gaia DR3 2051937019565051520,,6112,1.21,1.14,0.17811,0.96152,4.33,3.09,0.06,[Fe/H],,,,
Kepler-1095,2.476370,Kepler-1095,,,TIC 138096962,Gaia DR3 2077580345142027136,,5658,0.92,0.94,-0.09285,3.18914,4.48,4.47,-0.09,[Fe/H],,,,
Kepler-1096,2.554960,Kepler-1096,,,TIC 271255413,Gaia DR3 2080058266393766656,,4306,0.63,0.66,-0.84044,6.95894,4.66,3.8,-0.1,[Fe/H],,,,
Kepler-1097,2.496367,Kepler-1097,,,TIC 123316380,Gaia DR3 2104822188824798848,,5211,0.79,0.82,-0.40444,8.63421,4.57,4.9,-0.11,[Fe/H],,,,
Kepler-1098,2.509301,Kepler-1098,,,TIC 271763415,Gaia DR3 2078019187720711424,,5794,0.99,0.99,0.15655,0.90721,4.45,3.98,-0.02,[Fe/H],,,,
Kepler-1099,2.21333,Kepler-1099,,,TIC 299033164,Gaia DR3 2130969503047357952,,5837,1,1.01,-0.11906,5.9055,4.45,3.63,-0.02,[Fe/H],,,,
Kepler-11,2.487308,Kepler-11,,,TIC 169175503,Gaia DR3 2076960598545789824,,5663,1.065,0.961,0.1202,1.122,4.366,8.5,0.05,[Fe/H],-57.16,,0.4,
Kepler-110,2.26801,Kepler-110,,,TIC 26751563,Gaia DR3 2128925579652377472,,5960,1.149,0.989,0.27598,0.53,4.327,4.47,-0.1498,[M/H],0.04348,,,
Kepler-1100,2.523649,Kepler-1100,,,TIC 63009789,Gaia DR3 2126163675162475136,,6247,1.34,1.21,0.08792,1,4.26,2.69,0.05,[Fe/H],,,,
Kepler-1101,2.550640,Kepler-1101,,,TIC 271163971,Gaia DR3 2080048680026646912,,5614,0.91,0.94,-0.35135,3.7581,4.5,4.27,-0.04,[Fe/H],,,,
Kepler-1102,2.18208,Kepler-1102,,,TIC 47976987,Gaia DR3 2119646801021958272,,5724,0.94,0.96,0.13927,0.31768,4.48,4.37,-0.08,[Fe/H],,,,
Kepler-1103,2.35252,Kepler-1103,,,TIC 399951202,Gaia DR3 2132808608042844160,,6092,1.15,1.11,0.52181,0.28,4.36,3.31,-0.01,[Fe/H],,,,
Kepler-1104,2.34545,Kepler-1104,,,TIC 27186509,Gaia DR3 2135002576119495936,,6417,1.41,1.3,0.51439,0.44,4.25,2.04,0.13,[Fe/H],-31.17697,,,
Kepler-1105,2.494557,Kepler-1105,,,TIC 123231917,Gaia DR3 2116733198288204288,,4299,0.68,0.71,-0.94508,0.66228,4.62,8.71,0.28,[Fe/H],,,,
Kepler-1106,2.523549,Kepler-1106,,,TIC 159649503,Gaia DR3 2126198756455621376,,6104,1.17,1.11,0.15896,0.89491,4.35,3.09,0,[Fe/H],,,,
Kepler-1107,2.435952,Kepler-1107,,,TIC 122716169,Gaia DR3 2052965337812644352,,5268,0.82,0.86,-0.41703,1.78,4.55,4.47,0.01,[Fe/H],,,,
Kepler-1108,2.555190,Kepler-1108,,,TIC 272083644,Gaia DR3 2080390353264322944,,5406,0.84,0.88,-0.25795,3.82916,4.54,4.17,-0.09,[Fe/H],,,,
Kepler-1109,2.438844,Kepler-1109,,,TIC 137336979,Gaia DR3 2052983514114840192,,5893,1.06,1.05,-0.07583,1.31457,4.41,3.8,0.04,[Fe/H],,,,
Kepler-111,2.535210,Kepler-111,,,TIC 63001143,Gaia DR3 2126569051355142656,,5952,1.157,1.171,0.19471,0.432,4.377,2.3,0.22,[Fe/H],,,,
Kepler-111,2.535210,Kepler-111,,,TIC 63001143,Gaia DR3 2126569051355142656,,5914,1.145,1.118,0.15836,1.05,4.369,3.4,0.237,[Fe/H],,,,
Kepler-1110,2.428896,Kepler-1110,,,TIC 351060274,Gaia DR3 2052691044021500032,,4781,0.7,0.73,-0.63653,2.74996,4.62,4.79,-0.16,[Fe/H],,,,
Kepler-1111,2.553581,Kepler-1111,,,TIC 271663670,Gaia DR3 2080016106994504704,,6077,1.15,1.1,-0.0903,1.97461,4.36,3.16,0.02,[Fe/H],,,,
Kepler-1112,2.14955,Kepler-1112,,,TIC 272841734,Gaia DR3 2086586273085111808,,6496,1.54,1.34,0.54224,1.11353,4.19,2.09,0.04,[Fe/H],,,,
Kepler-1113,2.438703,Kepler-1113,,,TIC 122062725,Gaia DR3 2101006883479557504,,5931,1.17,1.12,0.07994,4.29644,4.35,3.55,0.18,[Fe/H],,,,
Kepler-1114,2.553754,Kepler-1114,,,TIC 268612417,Gaia DR3 2085258750237006208,,5374,0.83,0.87,-0.29317,1.47,4.55,4.27,-0.08,[Fe/H],,,,
Kepler-1115,2.451634,Kepler-1115,,,TIC 138960099,Gaia DR3 2076483616656410496,,8480,1.73,1.6,1.25385,0.530767,4.17,1.12,-0.51,[Fe/H],,0.58,200,
Kepler-1116,2.525805,Kepler-1116,,,TIC 63076026,Gaia DR3 2126166733179219072,,5641,0.93,0.95,-0.14676,2.25165,4.48,4.9,0.01,[Fe/H],,,,
Kepler-1117,2.33217,Kepler-1117,,,TIC 26583640,Gaia DR3 2129755573491351040,,5612,0.93,0.95,-0.22396,1.49,4.49,4.27,0.03,[Fe/H],,,,
Kepler-1118,2.526666,Kepler-1118,,,TIC 239238425,Gaia DR3 2076102635879020928,,5688,0.97,0.96,-0.06047,0.58519,4.46,4.07,0,[Fe/H],,,,
Kepler-1119,2.530576,Kepler-1119,,,TIC 272940104,Gaia DR3 2078920821617340416,,6083,1.17,1.11,0.48586,0.45899,4.35,3.09,0.03,[Fe/H],,,,
Kepler-112,2.509479,Kepler-112,,,TIC 272943597,Gaia DR3 2078722600285671936,,5544,0.841,0.782,-0.08612,1.16,4.506,12.88,-0.5221,[M/H],,,,
Kepler-1120,2.491776,Kepler-1120,,,TIC 159573412,Gaia DR3 2101941434002832000,,4904,0.74,0.78,-0.58813,3.06505,4.6,4.68,-0.04,[Fe/H],,,,
Kepler-1121,2.16555,Kepler-1121,,,TIC 28230581,Gaia DR3 2086505630781210752,,6231,1.59,1.29,0.47495,0.42,4.14,3.02,0.12,[Fe/H],-33.93738,,,
Kepler-1122,2.561524,Kepler-1122,,,TIC 158664692,Gaia DR3 2130383394629702400,,5544,0.89,0.92,0.05875,0.96661,4.51,4.68,-0.03,[Fe/H],,,,
Kepler-1123,2.47046,Kepler-1123,,,TIC 27188610,Gaia DR3 2135239112857020032,,5500,0.9,0.93,-0.29455,3.18576,4.5,5.13,0.05,[Fe/H],,,,
Kepler-1124,2.419713,Kepler-1124,,,TIC 120963454,Gaia DR3 2099183583961614208,,3658,0.34,0.35,-1.32347,5.163418,4.93,3.39,-0.59,[Fe/H],,,,
Kepler-1125,2.463755,Kepler-1125,,,TIC 184009076,Gaia DR3 2076598687419100800,,5683,0.94,0.95,0.64744,0.80228,4.47,4.17,-0.09,[Fe/H],,,,
Kepler-1126,2.550023,Kepler-1126,,,TIC 352013661,Gaia DR3 2106496607595412480,,5798,0.93,0.92,-0.09926,1.08,4.46,5.5,-0.26,[Fe/H],,,,
Kepler-1126,2.550023,Kepler-1126,,,TIC 352013661,Gaia DR3 2106496607595412480,,5678,0.921,0.794,-0.09926,2.4075,4.409,12.3,-0.4,[Fe/H],,,,
Kepler-1127,2.500689,Kepler-1127,,,TIC 275569511,Gaia DR3 2077805263989929728,,5664,0.95,0.97,-0.25911,1.89424,4.47,4.37,0.04,[Fe/H],,,,
Kepler-1128,2.440336,Kepler-1128,,,TIC 137972889,Gaia DR3 2053124285963894784,,5543,0.91,0.94,-0.19585,10.19029,4.5,4.57,0.04,[Fe/H],,,,
Kepler-1129,2.476039,Kepler-1129,,,TIC 137212833,Gaia DR3 2101651781408908160,,5831,1,1,-0.0274,1.19,4.44,4.07,-0.04,[Fe/H],,,,
Kepler-113,2.48866,Kepler-113,,,TIC 298834019,Gaia DR3 2133369840008452224,,4725,0.69,0.75,-0.57598,2.71,4.636,6.89,0.05,[Fe/H],,,0.4,
Kepler-1130,2.545410,Kepler-1130,,,TIC 164882482,Gaia DR3 2106406069684947840,,5403,0.81,0.9,-0.25964,1.44,4.57,1.58,-0.06,[Fe/H],7.46097,,,
Kepler-1130,2.545410,Kepler-1130,,,TIC 164882482,Gaia DR3 2106406069684947840,,5450,0.842,0.944,-0.25964,1.58888,4.563,1.58,0.1,[Fe/H],7.46097,,,
Kepler-1130,2.545410,Kepler-1130,,,TIC 164882482,Gaia DR3 2106406069684947840,,5450,0.842,0.944,-0.25964,1.2086,4.563,1.58,0.1,[Fe/H],7.46097,,,
Kepler-1131,2.33509,Kepler-1131,,,TIC 27642556,Gaia DR3 2134776218463088896,,5851,1.04,1.03,-0.02783,1.41165,4.42,4.17,0.05,[Fe/H],,,,
Kepler-1132,2.23844,Kepler-1132,,,TIC 405719448,Gaia DR3 2131151094264000640,,5298,0.83,0.87,-0.37811,1.50773,4.55,4.57,-0.01,[Fe/H],,,,
Kepler-1133,2.502342,Kepler-1133,,,TIC 275569784,Gaia DR3 2077831239952281472,,5569,0.9,0.93,-0.20972,20.39189,4.5,4.07,-0.02,[Fe/H],,,,
Kepler-1134,2.495981,Kepler-1134,,,TIC 271758442,Gaia DR3 2077892640805120128,,5281,0.81,0.84,-0.39721,4.80501,4.56,4.9,-0.1,[Fe/H],,,,
Kepler-1135,2.536485,Kepler-1135,,,TIC 158114283,Gaia DR3 2106306082845810048,,5656,0.94,0.96,0.43703,0.57519,4.47,4.47,0.02,[Fe/H],,,,
Kepler-1136,2.527398,Kepler-1136,,,TIC 164671623,Gaia DR3 2106617691313437568,,4512,0.68,0.72,-0.85345,11.55482,4.63,3.24,0.03,[Fe/H],,,,
Kepler-1137,2.26386,Kepler-1137,,,TIC 399913391,Gaia DR3 2131213903865285760,,6807,1.84,1.5,0.75429,0.367578,4.08,1.58,0.05,[Fe/H],1.82194,,,
Kepler-1138,2.22475,Kepler-1138,,,TIC 405685914,Gaia DR3 2131896494426821760,,5582,0.92,0.95,-0.33299,6.55345,4.49,4.37,0.04,[Fe/H],,,,
Kepler-1139,2.437221,Kepler-1139,,,TIC 121458495,Gaia DR3 2099735057762220288,,5550,0.91,0.94,-0.30419,1.65,4.5,4.47,0.05,[Fe/H],,,,
Kepler-114,2.23159,Kepler-114,,,TIC 27011135,Gaia DR3 2128939873302216320,M0 V,4605,0.667,0.77,-0.6853,3.41328,4.65,2.69,0.2291,[M/H],,,,
Kepler-114,2.23159,Kepler-114,,,TIC 27011135,Gaia DR3 2128939873302216320,M0 V,4660,0.54,0.56,-0.6853,3.41328,4.72,2.69,0.2291,[M/H],,,,
Kepler-1140,2.572679,Kepler-1140,,,TIC 123359347,Gaia DR3 2119201533172444160,,4850,0.73,0.76,-0.56584,5.29946,4.61,5.01,-0.08,[Fe/H],,,,
Kepler-1141,2.14458,Kepler-1141,,,TIC 159393734,Gaia DR3 2129369095153280000,,5791,1.07,1.01,0.1551,0.72,4.38,6.17,0.04,[Fe/H],-54.73318,,,
Kepler-1142,2.523777,Kepler-1142,,,TIC 63366291,Gaia DR3 2126342380162345344,,5685,0.96,0.97,0.43724,0.09668,4.46,5.37,0.02,[Fe/H],,,,
Kepler-1143,2.437165,Kepler-1143,,,TIC 121215172,Gaia DR3 2100405381897402496,,5053,0.77,0.81,-0.62275,1.62078,4.58,4.79,-0.06,[Fe/H],,,,
Kepler-1144,2.6907,Kepler-1144,,,TIC 159226202,Gaia DR3 2127863623217139328,,5753,0.96,0.98,0.05604,2.63554,4.47,3.98,-0.03,[Fe/H],,,,
Kepler-1145,2.505876,Kepler-1145,,,TIC 271539239,Gaia DR3 2078012796808952832,,5064,0.75,0.79,-0.49839,5.25201,4.59,4.79,-0.13,[Fe/H],,,,
Kepler-1146,2.9804,Kepler-1146,,,TIC 158322622,Gaia DR3 2130684695176129536,,4692,0.7,0.74,-0.64244,3.92223,4.62,4.9,-0.06,[Fe/H],,,,
Kepler-1147,2.481516,Kepler-1147,,,TIC 137757057,Gaia DR3 2053636452223709696,,5941,1.14,1.09,0.23534,0.68449,4.36,3.8,0.11,[Fe/H],,,,
Kepler-1148,2.551712,Kepler-1148,,,TIC 159581434,Gaia DR3 2127431274629643008,,5054,0.77,0.81,-0.53105,8.38181,4.58,4.57,-0.02,[Fe/H],,,,
Kepler-1149,2.543266,Kepler-1149,,,TIC 270857274,Gaia DR3 2079920140245373184,,5833,1.01,1.02,0.16546,1.08184,4.43,3.98,0.02,[Fe/H],,,,
Kepler-115,2.544913,Kepler-115,,,TIC 273383120,Gaia DR3 2079368391569401600,,5979,1.205,1.042,0.22007,0.76,4.306,4.17,-0.0499,[M/H],,,,
Kepler-1150,2.36941,Kepler-1150,,,TIC 27913639,Gaia DR3 2086853351332014976,,4754,0.72,0.76,-0.66578,2.35572,4.61,4.68,0.01,[Fe/H],,,,
Kepler-1151,2.16053,Kepler-1151,,,TIC 63204022,Gaia DR3 2129254333627658112,,5470,0.85,0.88,-0.34196,6.66383,4.53,4.37,-0.11,[Fe/H],,,,
Kepler-1152,2.525616,Kepler-1152,,,TIC 159382189,Gaia DR3 2126870351901388672,,3964,0.53,0.55,-1.09668,3.728088,4.73,3.47,-0.25,[Fe/H],,,,
Kepler-1153,2.553046,Kepler-1153,,,TIC 158987296,Gaia DR3 2127307888808670976,,5470,0.88,0.91,-0.28448,2.57091,4.52,4.57,0.03,[Fe/H],,,,
Kepler-1154,2.446590,Kepler-1154,,,TIC 169561256,Gaia DR3 2073641344741406464,,6327,1.43,1.26,0.45174,0.68894,4.23,2.29,0.04,[Fe/H],,,,
Kepler-1155,2.441297,Kepler-1155,,,TIC 121785676,Gaia DR3 2099713617285398528,,5842,1.03,1.03,0.0472,3.21232,4.43,3.72,0.04,[Fe/H],,,,
Kepler-1156,2.555991,Kepler-1156,,,TIC 158842046,Gaia DR3 2127359737653864832,,5778,1,1,-0.06802,1.09,4.44,4.47,0.02,[Fe/H],,,,
Kepler-1157,2.513460,Kepler-1157,,,TIC 164460347,Gaia DR3 2105106687459103488,,4679,0.71,0.76,-0.67539,2.97604,4.62,3.39,0.05,[Fe/H],,,,
Kepler-1158,2.479741,Kepler-1158,,,TIC 137557778,Gaia DR3 2101670713625146112,,6203,1.95,1.41,0.84033,0.14,4.01,2.88,0.18,[Fe/H],,,,
Kepler-1159,2.544688,Kepler-1159,,,TIC 270955277,Gaia DR3 2079920552562267904,,6217,1.28,1.19,0.29847,4.66661,4.3,2.75,0.04,[Fe/H],,,,
Kepler-116,2.514329,Kepler-116,,,TIC 271260980,Gaia DR3 2078272831307891456,,6142,1.454,1.198,0.42073,0.47,4.196,3.16,0.07,[Fe/H],,,,
Kepler-1160,2.510280,Kepler-1160,,,TIC 158630233,Gaia DR3 2102983496146969856,,5519,0.89,0.92,-0.34326,3.39097,4.51,4.57,0.01,[Fe/H],,,,
Kepler-1161,2.548096,Kepler-1161,,,TIC 268390796,Gaia DR3 2079247239132750720,,4253,0.57,0.59,-0.65314,3.57023,4.7,3.39,-0.35,[Fe/H],,,,
Kepler-1162,2.546785,Kepler-1162,,,TIC 164522726,Gaia DR3 2106996095111385728,,5390,0.84,0.89,-0.32228,1.49185,4.54,4.37,-0.03,[Fe/H],,,,
Kepler-1162,2.546785,Kepler-1162,,,TIC 164522726,Gaia DR3 2106996095111385728,,5225,0.859,0.861,-0.32228,1.95609,4.505,0.5,0.14,[Fe/H],,,,
Kepler-1163,2.41578,Kepler-1163,,,TIC 406950324,Gaia DR3 2130026255211751808,,6302,1.35,1.22,0.39636,0.49,4.26,2.88,0.02,[Fe/H],-45.35669,,,
Kepler-1164,2.431177,Kepler-1164,,,TIC 121275496,Gaia DR3 2099632837540824192,,5183,0.79,0.85,-0.39926,1.86,4.57,3.63,-0.03,[Fe/H],,,,
Kepler-1165,2.536608,Kepler-1165,,,TIC 158326744,Gaia DR3 2106208363750121728,,6249,1.076,1.13,0.55152,0.79028,4.428,0.3,-0.04,[Fe/H],,,,
Kepler-1165,2.536608,Kepler-1165,,,TIC 158326744,Gaia DR3 2106208363750121728,,6080,1.18,1.13,0.55152,0.33691,4.34,3.24,0.05,[Fe/H],,,,
Kepler-1166,2.49070,Kepler-1166,,,TIC 406951266,Gaia DR3 2133173542823321344,,5446,0.86,0.9,-0.25594,2.66299,4.53,4.9,-0.02,[Fe/H],,,,
Kepler-1167,2.13699,Kepler-1167,,,TIC 273875149,Gaia DR3 2086441721667415424,,4971,0.75,0.79,-0.53589,2.85817,4.6,4.27,-0.05,[Fe/H],,,,
Kepler-1168,2.9862,Kepler-1168,,,TIC 158412890,Gaia DR3 2131048324286015104,,5157,0.82,0.87,-0.5302,2.97042,4.56,4.27,0.13,[Fe/H],,,,
Kepler-1169,2.564744,Kepler-1169,,,TIC 271354748,Gaia DR3 2080098840942920704,,6191,1.23,1.24,0.26202,0.7,4.35,1.38,0.26,[Fe/H],-54.26481,,,
Kepler-117,2.18645,Kepler-117,,,TIC 299032847,Gaia DR3 2130959744881558272,F8 V,6150,1.606,1.129,0.53776,0.41,4.102,5.3,-0.04,[Fe/H],-12.951,,6,
Kepler-1170,2.517885,Kepler-1170,,,TIC 63125460,Gaia DR3 2125965007156694528,,5069,0.76,0.8,-0.3384,1.80506,4.58,4.9,-0.09,[Fe/H],,,,
