hostname,hostid,sy_name,hd_name,hip_name,tic_id,gaia_dr3_id,st_spectype,st_teff,st_rad,st_mass,st_lum,st_dens,st_logg,st_age,st_met,st_metratio,st_radv,st_rotp,st_vsin,st_log_rhk
HAT-P-1,2.103389,HAT-P-1,,,TIC 346338552,Gaia DR3 1928431764627661440,G0 V,5980,1.174,1.151,0.22463,0.908,4.359,3.6,0.13,[Fe/H],-2.98407,,2.2,
HAT-P-11,2.19473,HAT-P-11,,HIP 97657,TIC 28230919,Gaia DR3 2086512227851023872,K4,4653,0.683,0.811,-0.56702,3.70008,4.663,2.69,0.31,[Fe/H],-63.24,30.5,0.67,-4.35
HAT-P-12,2.103449,HAT-P-12,,,TIC 198108326,Gaia DR3 1499514786891168640,K4,4650,0.701,0.733,-0.678,3.108667,4.61,2.5,-0.29,[Fe/H],-40.51,,0.5,
HAT-P-13,2.103452,HAT-P-13,,,TIC 20096620,Gaia DR3 1014520826353577088,G4,5653,1.756,1.32,0.346,0.343998,4.07,5,0.46,[Fe/H],14.69,,1.66,
HAT-P-14,2.103459,HAT-P-14,,,TIC 101721385,Gaia DR3 1340497608486742400,F5 V,6600,1.82,2.65,0.64412,0.62,4.25,1.6,0.11,[Fe/H],-20.81,,8.18,
HAT-P-15,2.103471,HAT-P-15,,,TIC 353459965,Gaia DR3 179498266829041664,G5,5568,1.07,1,0.03019,1.14,4.38,6.8,0.22,[Fe/H],31.7622,,1.53,
HAT-P-16,2.103470,HAT-P-16,,,TIC 191284318,Gaia DR3 381592313648387200,F8,6140,1.158,1.218,0.29447,1.105304,4.396,0.5,0.17,[Fe/H],-16.553,,3.5,
HAT-P-17,2.103485,HAT-P-17,,,TIC 266593143,Gaia DR3 1849786481032616960,K,5246,0.87,0.99,-0.28893,2.08,4.53,7,0,[Fe/H],20.3141,,0.84,
HAT-P-17,2.103485,HAT-P-17,,,TIC 266593143,Gaia DR3 1849786481032616960,K,5336.96,0.838682,0.92,-0.28893,2.198681,4.55466,7,0.0512,[M/H],20.3141,,0.84,
HAT-P-18,2.103483,HAT-P-18,,,TIC 21744120,Gaia DR3 1334573817793362560,K2,4803,0.749,0.77,-0.569,2.94,4.57,12.4,0.1,[Fe/H],-11.92,,0.5,
HAT-P-19,2.103484,HAT-P-19,,,TIC 267650535,Gaia DR3 365426679516816512,K1,4962,0.773,0.807,-0.48545,2.468,4.5687,7.2,0.166,[Fe/H],-20.22,35.5,0.7,
HAT-P-2,2.57814,HAT-P-2,HD 147506,HIP 80076,TIC 39903405,Gaia DR3 1380825667768742144,F8,6380,1.39,1.33,0.53,0.434,4.16,1.44,0.18,[Fe/H],-0.22,,20.8,
HAT-P-2,2.57814,HAT-P-2,HD 147506,HIP 80076,TIC 39903405,Gaia DR3 1380825667768742144,F8,6412,1.416,1.33,0.577,0.434,4.16,1.44,0.12,[Fe/H],-0.22,,20.8,
HAT-P-20,2.103487,HAT-P-20,,,TIC 26826078,Gaia DR3 869913435026514688,K3,4595,0.694,0.756,-0.721,2.36,4.63,6.7,0.35,[Fe/H],-18.81,14.48,2.1,
HAT-P-21,2.103488,HAT-P-21,,,TIC 17993892,Gaia DR3 770622651659107712,G3,5588,1.21,1.24,0.18184,1,4.33,10.2,0.01,[Fe/H],-53.018,15.88,3.5,
